No;Kategori RTH;Jenis RTH;Lokasi;Kecamatan;Kelurahan;Luas (m2);Keterangan Luas;Catatan dari DLH;Latitude;Longitude;Tim Survey;Jumlah PCQ
1;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN KENTENG;Pasar Kliwon;Mojo; 5.934,91 ;Sedang;USULAN;"7º 35' 38,005"" ";"110º 49' 58,801""";Tim 2;3
2;RTH Tertentu;Pemakaman;TPU CEMORO KEMBAR;Pasar Kliwon;Mojo; 3.209,17 ;Kecil;OK;"7º 35' 35,593"" ";"110º 49' 51,605""";Tim 2;2
3;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI PELEM WULUNG;Serengan;Joyotakan; 21.229,13 ;Besar;OK;"7º 35' 30,373"" ";"110º 49' 26,391""";Tim 2;5
4;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI BENGAWAN SOLO (SEMANGGI);Pasar Kliwon;Semanggi; 16.345,00 ;Besar;OK;"7º 35' 14,964"" ";"110º 50' 27,612""";Tim 2;3
5;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN LOSARI;Pasar Kliwon;Semanggi; 11.271,34 ;Besar;USULAN;"7º 34' 59,195"" ";"110º 50' 20,389"" ";Tim 2;3
6;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN PRINGGOLAYAN;Serengan;Tipes; 8.065,87 ;Sedang;USULAN;"7º 34' 56,712"" ";"110º 48' 35,991""";Tim 2;3
7;RTH Taman dan Hutan Kota;Taman Kota;ALUN-ALUN KIDUL DAN TAMAN SEPUTARAN ALUN ALUN SELATAN;Pasar Kliwon;Baluwarti; 46.476,48 ;Besar;OK;"7º 34' 55,307"" ";"110º 49' 37,213""";Tim 2;5
8;RTH Tertentu;Pemakaman;MAKAM JALAN VETERAN;Serengan;Tipes; 9.426,49 ;Sedang;USULAN;"7º 34' 44,76"" ";"110º 48' 28,795""";Tim 2;3
9;RTH Taman dan Hutan Kota;Taman Kecamatan;TAMAN LOTTEMART;Serengan;Tipes; 824,12 ;Kecil;OK;"7º 34' 42,924""";"110º 48' 28,795""";Tim 2;1
10;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN BOLA JALAN KARTO PURAN;Serengan;Jayengan; 8.949,01 ;Sedang;OK;"7º 34' 29,999""";"110º 49' 4,803"" ";Tim 2;3
11;RTH Taman dan Hutan Kota;Taman Kota;ALUN - ALUN UTARA;Pasar Kliwon;Baluwarti; 39.112,98 ;Besar;USULAN;"7º 34' 29,352""";"110º 49' 44,409"" ";Tim 2;5
12;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR PEJALAN KAKI JALAN ALUN-ALUN UTARA;Pasar Kliwon;Kauman; 1.039,82 ;Kecil;OK;"7º 34' 23,449""";"110º 49' 44,409"" ";Tim 2;2
13;RTH Tertentu;Depan Kelurahan Panularan;LAPANGAN KARTOPURAN;Laweyan;Panularan; 21.688,85 ;Besar;GANTI NAMA AWALNYA JL.ROJOMANGGOLO;"7º 34' 22,98""";"110º 48' 43,187"" ";Tim 2;5
14;RTH Taman dan Hutan Kota;Taman Kota;TAMAN BENTENG VASTENBURG;Pasar Kliwon;Kedung Lumbu; 42.802,45 ;Besar;OK;"7º 34' 19,775""";"110º 49' 55,203"" ";Tim 2;5
15;RTH Taman dan Hutan Kota;Taman Kota;URBAN FOREST PUCANG SAWIT;Jebres;Pucangsawit; 21.408,24 ;Besar;GANTI LOKASI;"7º 34' 19,416""";"110º 50' 56,396"" ";Tim 1;5
16;RTH Tertentu;Pemakaman;MAKAM KYAI AGENG HENIS;Laweyan;Pajang; 8.899,00 ;Sedang;OK;"7º 34' 18,12"" ";"110º 47' 31,199"" ";Tim 2;3
17;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR HIJAU JALAN RONGGOWARSITO (UTARA);Banjarsari;Keprabon; 1.189,36 ;Kecil;OK;"7º 34' 12,323"" ";"110º 49' 40,811"" ";Tim 1;2
18;RTH Tertentu;Pemakaman;MAKAM KRAMAT;Laweyan;Laweyan; 1.823,44 ;Kecil;OK;"7º 34' 11,424"" ";"110º 47' 31,199"" ";Tim 2;2
19;RTH Taman dan Hutan Kota;Taman Kota;TAMAN BALAIKOTA;Pasar Kliwon;Kampung Baru; 1.113,03 ;Kecil;USULAN;"7º 34' 10,236"" ";"110º 49' 48,007"" ";Tim 2;2
20;RTH Taman dan Hutan Kota;Taman Kota;STADIUN SRIWEDARI;Laweyan;Sriwedari; 63.518,03 ;Besar;OK;"7º 34' 8,149"" ";"110º 48' 46,813"" ";Tim 2;7
21;RTH Taman dan Hutan Kota;Taman Kecamatan;TAMAN TUGU KEBANGKITAN NASIONAL;Laweyan;Penumping; 1.182,77 ;Kecil;OK;"7º 34' 7,139"" ";"110º 48' 21,599"" ";Tim 2;2
22;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR PEJALAN KAKI JALAN SLAMET RIYADI;Laweyan;Sriwedari; 6.392,92 ;Sedang;OK;"7º 34' 6,708"" ";"110º 48' 57,607"" ";Tim 2;3
23;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR PEJALAN KAKI JALAN SLAMET RIYADI;Serengan;Kemlayan; 5.058,39 ;Sedang;OK;"7º 34' 8,98"" ";"110º 49' 5,16"" ";Tim 2;3
24;RTH Tertentu;Parkir Mangkunegaran;PURA MANGKUNEGARAN;Banjarsari;Keprabon; 445,06 ;Kecil;CEK LOKASI;"7º 33' 59,795"" ";"110º 49' 22,793"" ";Tim 1;1
25;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI BORO;Jebres;Jagalan; 41,18 ;Kecil;OK/CEK LOKASI;"7º 33' 57,852"" ";"110º 50' 23,987"" ";Tim 1;1
26;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN SRIWARU;Laweyan;Sondakan; 10.378,52 ;Besar;USULAN;"7º 33' 56,556"" ";"110º 47' 27,601"" ";Tim 2;3
27;RTH Taman dan Hutan Kota;Hutan Kota;KAWASAN TAMAN JURUG;Jebres;Jebres;20.140,9186 ;Besar;USULAN;"7º 33' 56,556"" ";"110º 51' 39,6"" ";Tim 1;5
28;RTH Jalur Hijau Jalan;Pulau Jalan dan Median Jalan;JALAN URIP SUMOHARJO;Jebres;Kepatihan Wetan; 11.828,89 ;Besar;GANTI LOKASI ;"7º 33' 48,924"" ";"110º 50' 5,997"" ";Tim 1;3
29;RTH Tertentu;Kampus 4 PGSD UNS;KOMPLEKS PPG PGSD PGPAUD UNS;Laweyan;Pajang; 23.140,98 ;Besar;GANTI NAMA AWALNYA JL.SLAMET RIYADI;"7º 33' 43,093"" ";"110º 47' 20,405"" ";Tim 2;5
30;RTH Taman dan Hutan Kota;Taman RW;TAMAN BERMAIN ANAK JALAN BENGLE;Laweyan;Pajang; 108,05 ;Kecil;OK;"7º 33' 42,732"" ";"110º 47' 2,388"" ";Tim 2;1
31;RTH Taman dan Hutan Kota;Taman Kota;TAMAN MONUMEN 45 BANJARSARI;Banjarsari;Setabelan; 19.442,04 ;Besar;AREA PRIVAT ;"7º 33' 37,692"" ";"110º 49' 33,587"" ";Tim 1;3
32;RTH Jalur Hijau Jalan;Pulau Jalan dan Median Jalan;JALUR HIJAU JALAN SLAMET RIYADI;Laweyan;Kerten; 1.402,13 ;Kecil;OK;"7º 33' 36,216"" ";"110º 47' 20,405"" ";Tim 2;2
33;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALAN SAM RATULANGI;Laweyan;Kerten; 19.186,52 ;Besar;GANTI LOKASI;"7º 33' 36,144"" ";"110º 48' 14,403"" ";Tim 2;3
34;RTH Jalur Hijau Jalan;Perempatan Panggung Motor;JL.A.YANI;Jebres;Tegalharjo; 231,90 ;Kecil;OK/CEK LOKASI;"7º 33' 35,639"" ";"110º 50' 13,193"" ";Tim 1;1
35;RTH Taman dan Hutan Kota;Taman Kecamatan;TAMAN MONUMEN ACHMADI;Banjarsari;Setabelan; 734,20 ;Kecil;GANTI LOKASI;"7º 33' 32,761"" ";"110º 49' 40,811"" ";Tim 1;1
36;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR PEJALAN KAKI JALAN MONGINSIDI;Jebres;Tegalharjo; 250,86 ;Kecil;OK;"7º 33' 32,508"" ";"110º 49' 55,203"" ";Tim 1;1
37;RTH Taman dan Hutan Kota;Taman Kota;KOMPLEKS UNS (STADIUN UNS DAN DANAU UNS);Jebres;Jebres; 629.315,68 ;Besar;OK;"7º 33' 29,916"" ";"110º 51' 25,208"" ";Tim 1;10
38;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI PEPE;Banjarsari;Nusukan; 16,01 ;Kecil;CEK LOKASI;"7º 33' 28,62"" ";"110º 49' 11,999"" ";Tim 1;1
39;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN JAJAR;Laweyan;Jajar; 7.186,44 ;Sedang;USULAN;"7º 33' 21,493"" ";"110º 47' 20,405"" ";Tim 2;3
40;RTH Taman dan Hutan Kota;Taman Kota;STADIUN MANAHAN DAN TAMAN SELATAN STADIUN MANAHAN;Banjarsari;Manahan; 111.250,34 ;Besar;PERLUASAN;"7º 33' 18,396"" ";"110º 48' 18,001"" ";Tim 1;10
41;RTH Taman dan Hutan Kota;Taman Kota;TAMAN SEKARTAJI;Jebres;Jebres; 27.972,08 ;Besar;AREA PRIVAT RENCANA DIBANGUN;"7º 33' 17,46"" ";"110º 50' 38,406"" ";Tim 1;5
42;RTH Taman dan Hutan Kota;Hutan Kota;TAMAN BALEKAMBANG DAN TAMAN PEMBIBITAN;Banjarsari;Manahan; 83.647,63 ;Besar;PERLUASAN;"7º 33' 8,893"" ";"110º 48' 25,197"" ";Tim 1;7
43;RTH Taman dan Hutan Kota;Taman Kota;TAMAN TIRTONADI;Banjarsari;Gilingan; 5.061,22 ;Sedang;USULAN;"7º 33' 5,291"" ";"110º 49' 11,999"" ";Tim 1;3
44;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI GAJAH PUTIH;Banjarsari;Sumber; 581,68 ;Kecil;GANTI NAMA AWALNYA SEMPADAN SUNGAI KALIANYAR;"7º 33' 3,745"" ";"110º 48' 10,805"" ";Tim 1;1
45;RTH Tertentu;RTH Sempadan Sungai;TAMAN BANTARAN SUNGAI PEPE (BAGIAN UTARA);Banjarsari;Nusukan;17.356,80 ;Besar;USULAN;"7º 32' 57,589"" ";"110º 49' 4,803"" ";Tim 1;3
46;RTH Jalur Hijau Jalan;Dekat Tugu Makutha;JL.ADI SUCIPTO;Laweyan;Karangasem; 274,08 ;Kecil;OK;"7º 32' 48,803"" ";"110º 46' 40,8"" ";Tim 2;1
47;RTH Tertentu;Pemakaman;MAKAM ASTONOLOYO;Jebres;Mojosongo; 3.833,32 ;Kecil;OK;"7º 32' 18,205"" ";"110º 50' 2,399"" ";Tim 1;2
48;RTH Tertentu;Pemakaman;TPU BONOLOYO;Banjarsari;Banjarsari; 123.575,42 ;Besar;OK;"7º 32' 15,36"" ";"110º 49' 29,989"" ";Tim 1;10
49;RTH Taman dan Hutan Kota;Taman Kecamatan;TAMAN CERDAS MOJOSONGO;Jebres;Mojosongo; 1.143,53 ;Kecil;OK;"7º 32' 13,668"" ";"110º 50' 16,791"" ";Tim 1;2
50;RTH Taman dan Hutan Kota;Taman Kota;TAMAN JAYAWIJAYA;Jebres;Mojosongo; 6.964,15 ;Sedang;OK;"7º 32' 13,559"" ";"110º 50' 31,21"" ";Tim 1;3
51;RTH Privat;Bayan Krajan;KADIPIRO;Banjarsari;Kadipiro; 3.396,47 ;Kecil;OK;"7º 31' 50,304"" ";"110º 48' 57,607"" ";Tim 1;2
