Nama Lokal ;Spesies;Status IUCN;Lampiran Foto
Bondol Haji;Lonchura maja;Least Concern;bondol haji.jpg
Bondol Jawa;Lonchura leucogastroides;Least Concern;bondol jawa.jpg
Bondol Peking;Lonchura punctulata;Least Concern;bondol peking.jpg
Burung-gereja Erasia;Passer montanus;Least Concern;burung-gereja erasia.jpg
Burung-madu Kelapa;Anthreptes malacensis;Least Concern;burung-madu kelapa.jpg
Burung-madu Sriganti;Cinnyris jugularis;Least Concern;burung-madu sriganti.jpg
Cabai Jawa;Dicaeum trochileum;Least Concern;cabai jawa.jpg
Caladi ulam;Dendrocopos macei;Least Concern;caladi ulam.jpg
Cekakak Jawa;Halcyon cyanoventris;Least Concern;cekakak jawa.jpg
Cekakak sungai;Todiramphus chloris;Least Concern;cekakak sungai.jpg
Cinenen Jawa;Orthotomus sepium;Least Concern;cinenen jawa.jpg
Cinenen Pisang;Orthotomus sutorius;Least Concern;cinenen pisang.jpg
Cipoh Kacat;Aegithina tiphia;Least Concern;cipoh kacat.jpg
Cucak Kutilang;Pycnonotus aurigaster;Least Concern;cucak kutilang.jpg
Cucak Meranti;Chloropsis cochinchinensis;Endangered;cucak meranti.jpg
Gemak Loreng;Turnix suscitator;Least Concern;gemak loreng.jpg
Kacamata Biasa;Zosterops palpebrosus;Least Concern;kacamata biasa.jpg
Kareo Padi;Amaurornis phoenicurus;Least Concern;kareo padi.jpg
Kekep Babi;Artamus leucorynchus;Least Concern;kekep babi.jpg
Kerak Kerbau;Acridotheres javanicus;Vulnerable;kerak kerbau.jpg
Kuntul Kecil;Egretta garzetta;Least Concern;kuntul kecil.jpg
Layang-layang Asia;Hirundo rustica;Least Concern;layang-layang asia.jpg
Layang-layang Batu;Hirundo tahitica;Least Concern;layang-layang batu.jpg
Merbah Cerucuk;Pycnonotus goiavier;Least Concern;merbah cerucuk.jpg
Perenjak Padi;Prinia inornata;Least Concern;perenjak padi.jpg
Perkutut Jawa;Geopelia striata;Least Concern;perkutut jawa.jpg
Pijantung Kecil;Arachnothera longirostra;Least Concern;pijantung kecil.jpg
Raja-udang Biru;Alcedo coerulescens;Least Concern;raja-udang biru.jpg
Raja-udang Meninting;Alcedo meninting;Least Concern;raja-udang meninting.jpg
Sepah Kecil;Pericrocotus cinnamomeus;Least Concern;sepah kecil.jpg
Takur Ungkut-ungkut;Megalaima haemacephala;Least Concern;takur ungkut ungkut.jpg
Tekukur Biasa;Spilopelia chinensis;Least Concern;tekukur biasa.jpg
Walet Linci;Collocalia linchi;Least Concern;walet linci.jpg
Wiwik Kelabu;Cacomantis merulinus;Least Concern;wiwik kelabu.jpg
Kapuk Randu;Ceiba pentandra;Least Concern;kapuk randu.jpg
Karet Kebo;Ficus elastica;Least Concern;karet kebo.jpg
Kareumbi;Homalanthus populneus;Least Concern;kareumbi.jpg
Kayu Jaran;Lannea coromandelica;Least Concern;kayu jaran.jpg
Kayu Putih;Melaleuca leucadendra;Data Deficient;kayu putih.jpg
Kecrutan;Spathodea campanulata;Least Concern;kecrutan.jpg
Kelengkeng;Dimocarpus longan;Near Threatened;kelengkeng.jpg
Kelor;Moringa oleifera;Least Concern;kelor.jpg
Kenitu;Chrysophyllum cainito;Least Concern;kenitu.jpg
Kepoh;Sterculia foetida;Not Evaluated;kepoh.jpg
Kerai Payung;Filicium decipiens;Least Concern;kerai payung.jpg
Kersen;Muntingia calabura;Not Evaluated;kersen.jpg
Ketapang;Terminalia catappa;Least Concern;ketapang.jpg
Ketapang Kencana;Terminalia mantaly;Least Concern;ketapang kencana.jpg
Kleco;Diospyros malabarica;Not Evaluated;kleco.jpg
Kluwih;Artocarpus camansi;Not Evaluated;kluwih.jpg
Kopi Anjing;Cynometra ramiflora;Least Concern;kopi anjing.jpg
Lamtoro;Leucaena leucocephala;Not Evaluated;lamtoro.jpg
Mahoni;Swietenia mahagoni;Near Threatened;mahoni.jpg
Mahua;Madhuca longifolia;Not Evaluated;mahua.jpg
Makaranga;Macaranga tanarius;Least Concern;makaranga.jpg
Mangga;Mangifera indica;Data Deficient;mangga.jpg
Matoa;Pometia pinnata;Least Concern;matoa.jpg
Mindi;Melia azedarach;Least Concern;mindi.jpg
Nagasari;Mesua ferrea;Not Evaluated;nagasari.jpg
Nangka;Artocarpus heterophyllus;Not Evaluated;nangka.jpg
Nyamplung;Calophyllum inophyllum;Least Concern;nyamplung.jpg
Palem Butia;Butia capitata;Not Evaluated;palem butia.jpg
Palem Raja;Roystonea regia;Least Concern;palem raja.jpg
Pohon Biola Cantik;Ficus lyrata;Least Concern;pohon biola cantik.jpg
Pohon Lo;Ficus racemosa;Least Concern;pohon lo.jpg
Pohon Roda;Hura crepitans;Not Evaluated;pohon roda.jpg
Pohon Sapu Tangan;Maniltoa grandiflora;Not Evaluated;pohon sapu tangan.jpg
Pohon Sosis;Kigelia africana;Least Concern;pohon sosis.jpg
Pule;Alstonia scholaris;Least Concern;pule.jpg
Rambutan;Nephelium lappaceum;Least Concern;rambutan.jpg
Randu Alas;Bombax ceiba;Least Concern;randu alas.jpg
Salam;Syzygium polyanthum;Not Evaluated;salam.jpg
Sawo Kecik;Manilkara kauki;Not Evaluated;sawo kecik.jpg
Sengon;Paraserianthes falcataria;Not Evaluated;sengon.jpg
