Nama Jenis;Spesies;RTH;Plot
Bondol Haji;Lonchura maja;Alun - Alun Kidul dan Taman Seputaran Alun - Alun Selatan;16.          
Bondol Jawa;Lonchura leucogastroides;Alun - Alun Kidul dan Taman Seputaran Alun - Alun Selatan;16.          
Bondol Jawa;Lonchura leucogastroides;Taman Lottemart;51.          
Bondol Jawa;Lonchura leucogastroides;Alun - Alun Utara;17.          
Bondol Jawa;Lonchura leucogastroides;Lapangan Kartopuran;13.          
Bondol Jawa;Lonchura leucogastroides;Taman Benteng Vastenburg;19.          
Bondol Jawa;Lonchura leucogastroides;Lapangan Sriwaru;14.          
Bondol Jawa;Lonchura leucogastroides;Jalur Hijau Jalan Slamet Riyadi;44.          
Bondol Jawa;Lonchura leucogastroides;Jalan Samratulangi;11.          
Bondol Jawa;Lonchura leucogastroides;Kompleks PPG PGSD PGPaud UNS;12.          
Bondol Jawa;Lonchura leucogastroides;Makam Kramat;45.          
Bondol Jawa;Lonchura leucogastroides;Lapangan Pringgolayan;28.          
Bondol Jawa;Lonchura leucogastroides;Lapangan Kenteng;27.          
Bondol Jawa;Lonchura leucogastroides;Sepadan Sungai Pelem Wulung;18.          
Bondol Jawa;Lonchura leucogastroides;Lapangan Losari;21.          
Bondol Jawa;Lonchura leucogastroides;Urban Forest Pucangsawit;10.          
Bondol Jawa;Lonchura leucogastroides;Jalur Hijau Jalan Ronggowarsito (Utara);33.          
Bondol Jawa;Lonchura leucogastroides;Kawasan Taman Jurug;6.            
Bondol Jawa;Lonchura leucogastroides;Jalan Urip Sumoharjo;9.            
Bondol Jawa;Lonchura leucogastroides;Kompleks UNS;7.            
Bondol Jawa;Lonchura leucogastroides;Sempadan Sungai Pepe;35.          
Bondol Jawa;Lonchura leucogastroides;Stadiun Manahan dan Taman Selatan Stadiun Manahan;2.            
Bondol Jawa;Lonchura leucogastroides;Makam Astonoloyo;39.          
Bondol Jawa;Lonchura leucogastroides;Makam Bonoloyo;1.            
Bondol Jawa;Lonchura leucogastroides;Taman Cerdas Mojosongo;40.          
Bondol Jawa;Lonchura leucogastroides;Taman Jaya Wijaya;23.          
Bondol Peking;Lonchura punctulata;Alun - Alun Kidul dan Taman Seputaran Alun - Alun Selatan;16.          
Bondol Peking;Lonchura punctulata;Alun - Alun Utara;17.          
Bondol Peking;Lonchura punctulata;Jalan Samratulangi;11.          
Bondol Peking;Lonchura punctulata;Kompleks PPG PGSD PGPaud UNS;12.          
Bondol Peking;Lonchura punctulata;Lapangan Pringgolayan;28.          
Bondol Peking;Lonchura punctulata;Sepadan Sungai Pelem Wulung;18.          
Bondol Peking;Lonchura punctulata;Jalur Pejalan Kaki Jalan Slamet Riyadi Sriwedari;26.          
