Nama Lokal ;Spesies;Status IUCN;Lampiran Foto
Akasia;Acacia auriculiformis;Least Concern;akasia.jpg
Angsana;Pterocarpus indicus;Endangered;angsana.jpg
Ara Putih;Ficus virens;Least Concern;ara putih.jpg
Asam Jawa;Tamarindus indica;Least Concern;asam jawa.jpg
Asam Londo;Pithecellobium dulce;Least Concern;asam londo.jpg
Belimbing;Averrhoa carambola;Not Evaluated;belimbing.jpg
Belimbing Wuluh;Averrhoa bilimbi;Not Evaluated;belimbing wuluh.jpg
Beringin;Ficus benjamina;Least Concern;beringin.jpg
Bintaro;Cerbera manghas;Least Concern;bintaro.jpg
Bisbul;Diospyros blancoi;Not Evaluated;bisbul.jpg
Bodhi;Ficus religiosa;Least Concern;bodhi.jpg
Bunga Kupu-Kupu;Bauhinia purpurea;Least Concern;bunga kupu-kupu.jpg
Bungur;Lagerstroemia speciosa ;Not Evaluated;bungur.jpg
Buni;Antidesma bunius;Least Concern;buni.jpg
Cemara Laut;Casuarina equisetifolia;Least Concern;cemara laut.jpg
Cemara Norflok;Araucaria heterophylla;Vulnerable;cemara norflok.jpg
Dadap ;Erythrina crista-galli;Least Concern;dadap.jpg
Duwet;Syzygium cumini;Least Concern;duwet.jpg
Eukaliptus;Eucalyptus deglupta;Vulnerable;eukaliptus.jpg
Ficus Amplas;Ficus ampelas;Least Concern;ficus amplas.jpg
Flamboyan;Delonix regia;Least Concern;flamboyan.jpg
Gandrik;Bridelia monoica;Not Evaluated;gandrik.jpg
Gempol;Nauclea orientalis;Least Concern;gempol.jpg
Glodokan Tiang;Polyalthia longifolia;Not Evaluated;glodokan tiang.jpg
Huru Dapung;Actinodaphne quinqueflora;Not Evaluated;huru dapung.jpg
Jabon;Neolamarckia cadamba;Not Evaluated;jabon.jpg
Jakaranda;Jacaranda acutifolia;Least Concern;jakaranda.jpg
Jambu;Psidium guajava;Not Evaluated;jambu.jpg
Jambu Air;Syzygium aqueum;Not Evaluated;jambu air.jpg
Jambu Mete;Anacardium occidentale;Not Evaluated;jambu mete.jpg
Jati;Tectona grandis;Not Evaluated;jati putih.jpg
Jati Putih;Gmelina arborea;Least Concern;jati.jpg
Johar;Senna siamea;Least Concern;johar.jpg
Kamboja;Plumeria alba;Least Concern;kamboja.jpg
Kapuk Randu;Ceiba pentandra;Least Concern;kapuk randu.jpg
Karet Kebo;Ficus elastica;Least Concern;karet kebo.jpg
Kareumbi;Homalanthus populneus;Least Concern;kareumbi.jpg
Kayu Jaran;Lannea coromandelica;Least Concern;kayu jaran.jpg
Kayu Putih;Melaleuca leucadendra;Data Deficient;kayu putih.jpg
Kecrutan;Spathodea campanulata;Least Concern;kecrutan.jpg
Kelengkeng;Dimocarpus longan;Near Threatened;kelengkeng.jpg
Kelor;Moringa oleifera;Least Concern;kelor.jpg
Kenitu;Chrysophyllum cainito;Least Concern;kenitu.jpg
Kepoh;Sterculia foetida;Not Evaluated;kepoh.jpg
Kerai Payung;Filicium decipiens;Least Concern;kerai payung.jpg
Kersen;Muntingia calabura;Not Evaluated;kersen.jpg
Ketapang;Terminalia catappa;Least Concern;ketapang.jpg
Ketapang Kencana;Terminalia mantaly;Least Concern;ketapang kencana.jpg
Kleco;Diospyros malabarica;Not Evaluated;kleco.jpg
Kluwih;Artocarpus camansi;Not Evaluated;kluwih.jpg
Kopi Anjing;Cynometra ramiflora;Least Concern;kopi anjing.jpg
Lamtoro;Leucaena leucocephala;Not Evaluated;lamtoro.jpg
Mahoni;Swietenia mahagoni;Near Threatened;mahoni.jpg
Mahua;Madhuca longifolia;Not Evaluated;mahua.jpg
Makaranga;Macaranga tanarius;Least Concern;makaranga.jpg
Mangga;Mangifera indica;Data Deficient;mangga.jpg
Matoa;Pometia pinnata;Least Concern;matoa.jpg
Mindi;Melia azedarach;Least Concern;mindi.jpg
Nagasari;Mesua ferrea;Not Evaluated;nagasari.jpg
Nangka;Artocarpus heterophyllus;Not Evaluated;nangka.jpg
Nyamplung;Calophyllum inophyllum;Least Concern;nyamplung.jpg
Palem Butia;Butia capitata;Not Evaluated;palem butia.jpg
Palem Raja;Roystonea regia;Least Concern;palem raja.jpg
Pohon Biola Cantik;Ficus lyrata;Least Concern;pohon biola cantik.jpg
Pohon Lo;Ficus racemosa;Least Concern;pohon lo.jpg
Pohon Roda;Hura crepitans;Not Evaluated;pohon roda.jpg
Pohon Sapu Tangan;Maniltoa grandiflora;Not Evaluated;pohon sapu tangan.jpg
Pohon Sosis;Kigelia africana;Least Concern;pohon sosis.jpg
Pule;Alstonia scholaris;Least Concern;pule.jpg
Rambutan;Nephelium lappaceum;Least Concern;rambutan.jpg
Randu Alas;Bombax ceiba;Least Concern;randu alas.jpg
Salam;Syzygium polyanthum;Not Evaluated;salam.jpg
Sawo Kecik;Manilkara kauki;Not Evaluated;sawo kecik.jpg
Sengon;Paraserianthes falcataria;Not Evaluated;sengon.jpg
Sikat Botol;Callistemon viminalis;Not Evaluated;sikat botol.jpg
Soga;Peltophorum pterocarpum;Not Evaluated;soga.jpg
Sonokeling;Dalbergia latifolia;Vulnerable;sonokeling.jpg
Sukun;Artocarpus altilis;Not Evaluated;sukun.jpg
Tabebuya Kuning;Handroanthus chrysotrichus;Not Evaluated;tabebuya kuning.jpg
Tabebuya Ungu;Tabebuia rosea;Least Concern;tabebuya ungu.jpg
Tanjung;Mimusops elengi;Least Concern;tanjung.jpg
Trembesi;Samanea saman;Least Concern;trembesi.jpg
Waru;Hibiscus tiliaceus;Least Concern;waru.jpg
