Nama Jenis;Spesies;RTH;Plot
Akasia;Acacia auriculiformis;Jalur Pejalan Kaki Jalan Slamet Riyadi;31.          
Akasia;Acacia auriculiformis;Kompleks PPG PGSD PGPaud UNS;12.          
Akasia;Acacia auriculiformis;Kompleks UNS (Stadiun UNS dan Danau UNS);7.            
Angsana;Pterocarpus indicus;Alun - Alun Utara;17.          
Angsana;Pterocarpus indicus;Taman Benteng Vastenburg;19.          
Angsana;Pterocarpus indicus;Kawasan Taman Jurug;6.            
Angsana;Pterocarpus indicus;Makam Bonoloyo;1.            
Angsana;Pterocarpus indicus;Taman Cerdas Mojosongo;40.          
Angsana;Pterocarpus indicus;Taman Jaya Wijaya;23.          
Angsana;Pterocarpus indicus;Taman Balaikota;48.          
Angsana;Pterocarpus indicus;Lapangan Pringgolayan;28.          
Angsana;Pterocarpus indicus;Jalan Urip Sumoharjo;9.            
Angsana;Pterocarpus indicus;Taman Monumen 45 Banjarsari;5.            
Angsana;Pterocarpus indicus;Taman Monumen Achmadi;36.          
Angsana;Pterocarpus indicus;Jalur Pejalan Kaki Jalan Monginsidi;42.          
Angsana;Pterocarpus indicus;Kompleks UNS (Stadiun UNS dan Danau UNS);7.            
Angsana;Pterocarpus indicus;Stadiun Manahan dan Taman Selatan Stadiun Manahan;2.            
Angsana;Pterocarpus indicus;Taman Balekambang dan Taman Pembibitan;3.            
Angsana;Pterocarpus indicus;Taman Tirtonadi;22.          
Angsana;Pterocarpus indicus;Lapangan Losari;21.          
Angsana;Pterocarpus indicus;Jalur Pejalan Kaki Jalan Slamet Riyadi;26.          
Angsana;Pterocarpus indicus;Stadion Sriwedari;15.          
Ara Putih;Ficus virens;Taman Monumen 45 Banjarsari;5.            
Asam Jawa;Tamarindus indica;Lapangan Losari;21.          
Asam Jawa;Tamarindus indica;Lapangan Bola Jalan Kartopuran;30.          
Asam Jawa;Tamarindus indica;Taman Benteng Vastenburg;19.          
Asam Jawa;Tamarindus indica;Stadion Sriwedari;15.          
Asam Jawa;Tamarindus indica;Taman Balaikota;48.          
Asam Jawa;Tamarindus indica;Jalur Pejalan Kaki Jalan Slamet Riyadi;31.          
Asam Jawa;Tamarindus indica;Jalur Hijau Jalan Ronggowarsito (Utara);33.          
Asam Jawa;Tamarindus indica;Pura Mangkunegaran;34.          
Asam Jawa;Tamarindus indica;Kompleks UNS (Stadiun UNS dan Danau UNS);7.            
Asam Jawa;Tamarindus indica;Taman Balekambang dan Taman Pembibitan;3.            
Asam Londo;Pithecellobium dulce;Lapangan Kartopuran;13.          
Asam Londo;Pithecellobium dulce;Taman Benteng Vastenburg;19.          
Asam Londo;Pithecellobium dulce;Jalur Pejalan Kaki Jalan Slamet Riyadi;26.          
Asam Londo;Pithecellobium dulce;Kompleks UNS (Stadiun UNS dan Danau UNS);7.            
Belimbing;Averrhoa carambola;Taman Cerdas Mojosongo;40.          
Belimbing;Averrhoa carambola;Sempadan Sungai Pepe;35.          
Belimbing Wuluh;Averrhoa bilimbi;Kompleks PPG PGSD PGPaud UNS;12.          
Belimbing Wuluh;Averrhoa bilimbi;Sempadan Sungai Boro;38.          
Belimbing Wuluh;Averrhoa bilimbi;Taman Sekartaji;8.            
Beringin;Ficus benjamina;Jalur Pejalan Kaki Jalan Alun-alun Utara;49.          
Beringin;Ficus benjamina;Stadion Sriwedari;15.          
Beringin;Ficus benjamina;Urban Forest Pucangsawit;10.          
Beringin;Ficus benjamina;Sempadan Sungai Boro;38.          
Beringin;Ficus benjamina;Kawasan Taman Jurug;6.            
Beringin;Ficus benjamina;Taman Monumen Achmadi;36.          
Beringin;Ficus benjamina;Kompleks UNS (Stadiun UNS dan Danau UNS);7.            
Beringin;Ficus benjamina;Stadiun Manahan dan Taman Selatan Stadiun Manahan;2.            
Beringin;Ficus benjamina;Taman Balekambang dan Taman Pembibitan;3.            
Beringin;Ficus benjamina;Taman Bantaran Sungai Pepe (Bagian Utara);4.            
Beringin;Ficus benjamina;Makam Astonoloyo;39.          
Beringin;Ficus benjamina;Makam Bonoloyo;1.            
Beringin;Ficus benjamina;Alun - Alun Kidul dan Taman Seputaran Alun - Alun Selatan;16.          
Beringin;Ficus benjamina;Lapangan Bola Jalan Kartopuran;30.          
Beringin;Ficus benjamina;Alun - Alun Utara;17.          
Beringin;Ficus benjamina;Lapangan Kartopuran;13.          
Beringin;Ficus benjamina;Jalan Samratulangi;11.          
Beringin;Ficus benjamina;Lapangan Pringgolayan;28.          
Bintaro;Cerbera manghas;Kawasan Taman Jurug;6.            
Bintaro;Cerbera manghas;Pura Mangkunegaran;34.          
Bisbul;Diospyros blancoi;Taman Benteng Vastenburg;19.          
Bisbul;Diospyros blancoi;Lapangan Jajar;24.          
Bisbul;Diospyros blancoi;Stadiun Manahan dan Taman Selatan Stadiun Manahan;2.            
Bisbul;Diospyros blancoi;Taman Sekartaji;8.            
Bodhi;Ficus religiosa;Pura Mangkunegaran;34.          
Bodhi;Ficus religiosa;Taman Sekartaji;8.            
Bunga Kupu-Kupu;Bauhinia purpurea;Kompleks UNS (Stadiun UNS dan Danau UNS);7.            
Bunga Kupu-Kupu;Bauhinia purpurea;Stadiun Manahan dan Taman Selatan Stadiun Manahan;2.            
Bungur;Lagerstroemia speciosa ;Jalur Pejalan Kaki Jalan Slamet Riyadi;26.          
Bungur;Lagerstroemia speciosa ;Makam Bonoloyo;1.            
Bungur;Lagerstroemia speciosa ;Taman Balaikota;48.          
Bungur;Lagerstroemia speciosa ;Taman Monumen 45 Banjarsari;5.            
Buni;Antidesma bunius;Lapangan Kartopuran;13.          
Cemara Laut;Casuarina equisetifolia;Alun - Alun Utara;17.          
Cemara Laut;Casuarina equisetifolia;Stadion Sriwedari;15.          
Cemara Laut;Casuarina equisetifolia;Kawasan Taman Jurug;6.            
Cemara Laut;Casuarina equisetifolia;Jalan Samratulangi;11.          
Cemara Laut;Casuarina equisetifolia;TPU Cemoro Kembar;50.          
Cemara Laut;Casuarina equisetifolia;Stadiun Manahan dan Taman Selatan Stadiun Manahan;2.            
Cemara Laut;Casuarina equisetifolia;Taman Sekartaji;8.            
Cemara Norflok;Araucaria heterophylla;Taman Sekartaji;8.            
Dadap ;Erythrina crista-galli;Taman Monumen 45 Banjarsari;5.            
Duwet;Syzygium cumini;Lapangan Kartopuran;13.          
Duwet;Syzygium cumini;Makam Bonoloyo;1.            
Duwet;Syzygium cumini;Taman Balekambang dan Taman Pembibitan;3.            
Eukaliptus;Eucalyptus deglupta;Lapangan Bola Jalan Kartopuran;30.          
Eukaliptus;Eucalyptus deglupta;Kawasan Taman Jurug;6.            
Eukaliptus;Eucalyptus deglupta;Lapangan Jajar;24.          
Eukaliptus;Eucalyptus deglupta;Stadiun Manahan dan Taman Selatan Stadiun Manahan;2.            
Eukaliptus;Eucalyptus deglupta;Taman Tirtonadi;22.          
Ficus Amplas;Ficus ampelas;Lapangan Kartopuran;13.          
Flamboyan;Delonix regia;Lapangan Bola Jalan Kartopuran;30.          
Flamboyan;Delonix regia;Lapangan Kartopuran;13.          
Flamboyan;Delonix regia;Makam Astonoloyo;39.          
Flamboyan;Delonix regia;Sempadan Sungai Pelem Wulung;18.          
Flamboyan;Delonix regia;Stadion Sriwedari;15.          
Flamboyan;Delonix regia;Kompleks UNS (Stadiun UNS dan Danau UNS);7.            
Flamboyan;Delonix regia;Stadiun Manahan dan Taman Selatan Stadiun Manahan;2.            
Flamboyan;Delonix regia;Taman Sekartaji;8.            
Gandrik;Bridelia monoica;Makam Kyai Ageng Henis;25.          
Gempol;Nauclea orientalis;Jalur Pejalan Kaki Jalan Monginsidi;42.          
Glodokan Tiang;Polyalthia longifolia;Jalur Pejalan Kaki Jalan Slamet Riyadi;31.          
Glodokan Tiang;Polyalthia longifolia;Jl. Adi Sucipto;43.          
Glodokan Tiang;Polyalthia longifolia;Taman Lottemart;51.          
Glodokan Tiang;Polyalthia longifolia;Urban Forest Pucangsawit;10.          
Glodokan Tiang;Polyalthia longifolia;Kawasan Taman Jurug;6.            
Glodokan Tiang;Polyalthia longifolia;Makam Bonoloyo;1.            
Glodokan Tiang;Polyalthia longifolia;Jalur Hijau Jalan Slamet Riyadi;44.          
Glodokan Tiang;Polyalthia longifolia;Jalan Urip Sumoharjo;9.            
Glodokan Tiang;Polyalthia longifolia;JL.A.Yani;41.          
Huru Dapung;Actinodaphne quinqueflora;Makam Kyai Ageng Henis;25.          
Jabon;Neolamarckia cadamba;Lapangan Jajar;24.          
Jakaranda;Jacaranda acutifolia;Stadiun Manahan dan Taman Selatan Stadiun Manahan;2.            
Jambu;Psidium guajava;Makam Jalan Veteran;29.          
Jambu Air;Syzygium aqueum;Taman Cerdas Mojosongo;40.          
Jambu Air;Syzygium aqueum;Lapangan Pringgolayan;28.          
Jambu Air;Syzygium aqueum;Taman Sekartaji;8.            
Jambu Air;Syzygium aqueum;Taman Balekambang dan Taman Pembibitan;3.            
Jambu Air;Syzygium aqueum;Taman Bantaran Sungai Pepe (Bagian Utara);4.            
