KODE BARU;Kategori RTH;Jenis RTH;Lokasi;Kecamatan;Kelurahan;Luas (m2);Keterangan Luas;Catatan dari DLH;Latitude;Longitude;Tim Survey;Jumlah PCQ
1;RTH Tertentu;Pemakaman;TPU BONOLOYO;Banjarsari;Banjarsari;123.575,42;Besar;OK;-7,5376;110,8249969;Tim 1;10
2;RTH Taman dan Hutan Kota;Taman Kota;STADIUN MANAHAN DAN TAMAN SELATAN STADIUN MANAHAN;Banjarsari;Manahan;111.250,34;Besar;PERLUASAN;-7,55511;110,8050003;Tim 1;10
3;RTH Taman dan Hutan Kota;Hutan Kota;TAMAN BALEKAMBANG DAN TAMAN PEMBIBITAN;Banjarsari;Manahan;83.647,63;Besar;PERLUASAN;-7,55247028;110,8069992;Tim 1;7
4;RTH Tertentu;RTH Sempadan Sungai;TAMAN BANTARAN SUNGAI PEPE (BAGIAN UTARA);Banjarsari;Nusukan;17.356,80;Besar;USULAN;-7,54933028;110,8180008;Tim 1;3
5;RTH Taman dan Hutan Kota;Taman Kota;TAMAN MONUMEN 45 BANJARSARI;Banjarsari;Setabelan;19.442,04;Besar;AREA PRIVAT ;-7,56047;110,8259964;Tim 1;3
6;RTH Taman dan Hutan Kota;Hutan Kota;KAWASAN TAMAN JURUG;Jebres;Jebres;20.140,92;Besar;USULAN;-7,56571;110,861;Tim 1;5
7;RTH Taman dan Hutan Kota;Taman Kota;KOMPLEKS UNS (STADIUN UNS DAN DANAU UNS);Jebres;Jebres;629.315,68;Besar;OK;-7,55831;110,8570022;Tim 1;10
8;RTH Taman dan Hutan Kota;Taman Kota;TAMAN SEKARTAJI;Jebres;Jebres;27.972,08;Besar;AREA PRIVAT RENCANA DIBANGUN;-7,55485;110,8440017;Tim 1;5
9;RTH Jalur Hijau Jalan;Pulau Jalan dan Median Jalan;JALAN URIP SUMOHARJO;Jebres;Kepatihan Wetan;11.828,89;Besar;GANTI LOKASI ;-7,56359;110,8349992;Tim 1;3
10;RTH Taman dan Hutan Kota;Taman Kota;URBAN FOREST PUCANG SAWIT;Jebres;Pucangsawit;21.408,24;Besar;GANTI LOKASI;-7,57206;110,8489989;Tim 1;5
11;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALAN SAM RATULANGI;Laweyan;Kerten;19.186,52;Besar;GANTI LOKASI;-7,56004;110,8040008;Tim 2;3
12;RTH Tertentu;Kampus 4 PGSD UNS;KOMPLEKS PPG PGSD PGPAUD UNS;Laweyan;Pajang;23.140,98;Besar;GANTI NAMA AWALNYA JL.SLAMET RIYADI;-7,56197028;110,7890014;Tim 2;5
13;RTH Tertentu;Depan Kelurahan Panularan;LAPANGAN KARTOPURAN;Laweyan;Panularan;21.688,85;Besar;GANTI NAMA AWALNYA JL.ROJOMANGGOLO;-7,57305;110,8119964;Tim 2;5
14;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN SRIWARU;Laweyan;Sondakan;10.378,52;Besar;USULAN;-7,56571;110,7910003;Tim 2;3
15;RTH Taman dan Hutan Kota;Taman Kota;STADIUN SRIWEDARI;Laweyan;Sriwedari;63.518,03;Besar;OK;-7,56893028;110,8130036;Tim 2;7
16;RTH Taman dan Hutan Kota;Taman Kota;ALUN-ALUN KIDUL DAN TAMAN SEPUTARAN ALUN ALUN SELATAN;Pasar Kliwon;Baluwarti;46.476,48;Besar;OK;-7,58202972;110,8270036;Tim 2;5
17;RTH Taman dan Hutan Kota;Taman Kota;ALUN - ALUN UTARA;Pasar Kliwon;Baluwarti;39.112,98;Besar;USULAN;-7,57482;110,8290025;Tim 2;5
18;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI PELEM WULUNG;Serengan;Joyotakan;21.229,13;Besar;OK;-7,59177028;110,8239975;Tim 2;5
19;RTH Taman dan Hutan Kota;Taman Kota;TAMAN BENTENG VASTENBURG;Pasar Kliwon;Kedung Lumbu;42.802,45;Besar;OK;-7,57215972;110,8320008;Tim 2;5
20;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI BENGAWAN SOLO (SEMANGGI);Pasar Kliwon;Semanggi;16.345,00;Besar;OK;-7,58749;110,8410033;Tim 2;3
21;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN LOSARI;Pasar Kliwon;Semanggi;11.271,34;Besar;USULAN;-7,58310972;110,8389969;Tim 2;3
22;RTH Taman dan Hutan Kota;Taman Kota;TAMAN TIRTONADI;Banjarsari;Gilingan;5.061,22;Sedang;USULAN;-7,55146972;110,8199997;Tim 1;3
23;RTH Taman dan Hutan Kota;Taman Kota;TAMAN JAYAWIJAYA;Jebres;Mojosongo;6.964,15;Sedang;OK;-7,53709972;110,8420028;Tim 1;3
24;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN JAJAR;Laweyan;Jajar;7.186,44;Sedang;USULAN;-7,55597028;110,7890014;Tim 2;3
25;RTH Tertentu;Pemakaman;MAKAM KYAI AGENG HENIS;Laweyan;Pajang;8.899,00;Sedang;OK;-7,5717;110,7919997;Tim 2;3
26;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR PEJALAN KAKI JALAN SLAMET RIYADI;Laweyan;Sriwedari;6.392,92;Sedang;OK;-7,56853;110,8160019;Tim 2;3
27;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN KENTENG;Pasar Kliwon;Mojo;5.934,91;Sedang;USULAN;-7,59389028;110,8330003;Tim 2;3
28;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN PRINGGOLAYAN;Serengan;Tipes;8.065,87;Sedang;USULAN;-7,58242;110,8099975;Tim 2;3
29;RTH Tertentu;Pemakaman;MAKAM JALAN VETERAN;Serengan;Tipes;9.426,49;Sedang;USULAN;-7,5791;110,8079986;Tim 2;3
30;RTH Taman dan Hutan Kota;Taman Kecamatan;LAPANGAN BOLA JALAN KARTO PURAN;Serengan;Jayengan;8.949,01;Sedang;OK;-7,57499972;110,8180008;Tim 2;3
31;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR PEJALAN KAKI JALAN SLAMET RIYADI;Serengan;Kemlayan;5.058,39;Sedang;OK;-7,56916111;110,8181;Tim 2;3
32;RTH Privat;Bayan Krajan;KADIPIRO;Banjarsari;Kadipiro;3.396,47;Kecil;OK;-7,53064;110,8160019;Tim 1;2
33;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR HIJAU JALAN RONGGOWARSITO (UTARA);Banjarsari;Keprabon;1.189,36;Kecil;OK;-7,57008972;110,8280031;Tim 1;2
34;RTH Tertentu;Parkir Mangkunegaran;PURA MANGKUNEGARAN;Banjarsari;Keprabon;445,06;Kecil;CEK LOKASI;-7,56660972;110,8229981;Tim 1;1
35;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI PEPE;Banjarsari;Nusukan;16,01;Kecil;CEK LOKASI;-7,55795;110,8199997;Tim 1;1
36;RTH Taman dan Hutan Kota;Taman Kecamatan;TAMAN MONUMEN ACHMADI;Banjarsari;Setabelan;734,2;Kecil;GANTI LOKASI;-7,55910028;110,8280031;Tim 1;1
37;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI GAJAH PUTIH;Banjarsari;Sumber;581,68;Kecil;GANTI NAMA AWALNYA SEMPADAN SUNGAI KALIANYAR;-7,55104028;110,8030014;Tim 1;1
38;RTH Tertentu;RTH Sempadan Sungai;SEMPADAN SUNGAI BORO;Jebres;Jagalan;41,18;Kecil;OK/CEK LOKASI;-7,56607;110,8399964;Tim 1;1
39;RTH Tertentu;Pemakaman;MAKAM ASTONOLOYO;Jebres;Mojosongo;3.833,32;Kecil;OK;-7,53839028;110,8339997;Tim 1;2
40;RTH Taman dan Hutan Kota;Taman Kecamatan;TAMAN CERDAS MOJOSONGO;Jebres;Mojosongo;1.143,53;Kecil;OK;-7,53713;110,8379975;Tim 1;2
41;RTH Jalur Hijau Jalan;Perempatan Panggung Motor;JL.A.YANI;Jebres;Tegalharjo;231,9;Kecil;OK/CEK LOKASI;-7,55989972;110,8369981;Tim 1;1
42;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR PEJALAN KAKI JALAN MONGINSIDI;Jebres;Tegalharjo;250,86;Kecil;OK;-7,55903;110,8320008;Tim 1;1
43;RTH Jalur Hijau Jalan;Dekat Tugu Makutha;JL.ADI SUCIPTO;Laweyan;Karangasem;274,08;Kecil;OK;-7,54688972;110,778;Tim 2;1
44;RTH Jalur Hijau Jalan;Pulau Jalan dan Median Jalan;JALUR HIJAU JALAN SLAMET RIYADI;Laweyan;Kerten;1.402,13;Kecil;OK;-7,56006;110,7890014;Tim 2;2
45;RTH Tertentu;Pemakaman;MAKAM KRAMAT;Laweyan;Laweyan;1.823,44;Kecil;OK;-7,56984;110,7919997;Tim 2;2
46;RTH Taman dan Hutan Kota;Taman RW;TAMAN BERMAIN ANAK JALAN BENGLE;Laweyan;Pajang;108,05;Kecil;OK;-7,56187;110,7839967;Tim 2;1
47;RTH Taman dan Hutan Kota;Taman Kecamatan;TAMAN TUGU KEBANGKITAN NASIONAL;Laweyan;Penumping;1.182,77;Kecil;OK;-7,56864972;110,8059997;Tim 2;2
48;RTH Taman dan Hutan Kota;Taman Kota;TAMAN BALAIKOTA;Pasar Kliwon;Kampung Baru;1.113,03;Kecil;USULAN;-7,56951;110,8300019;Tim 2;2
49;RTH Jalur Hijau Jalan;Jalur Pejalan Kaki;JALUR PEJALAN KAKI JALAN ALUN-ALUN UTARA;Pasar Kliwon;Kauman;1.039,82;Kecil;OK;-7,57318028;110,8290025;Tim 2;2
50;RTH Tertentu;Pemakaman;TPU CEMORO KEMBAR;Pasar Kliwon;Mojo;3.209,17;Kecil;OK;-7,59322028;110,8310014;Tim 2;2
51;RTH Taman dan Hutan Kota;Taman Kecamatan;TAMAN LOTTEMART;Serengan;Tipes;824,12;Kecil;OK;-7,57859;110,8079986;Tim 2;1
